,Mandarin,Hindi,English,Spanish,Bengali,Portuguese,Russian,Japanese,German,Korean,French,Javanese,Telugu,Marathi,Vietnamese,Tamil,Urdu,Arabic,Punjabi or Lahnda,Italian,Malay
2000,,,,,,,,,,,,,,,,,,,,,
2001,874,366,341,340,207,176,167,125,100,78,77,75,69,68,68,66,60,191,64.5,62,21
2002,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,
2005,873,180,309,322,171,177,145,122,95,67,64,75,69,68,67,66,60,204,87,61,20
2006,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,
2009,845,182,328,329,181,178,144,122,90,66,68,85,70,68,69,66,61,221,78,62,14
2010,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,
2014,847.8,260,335,406,193,202,162,122,84,66,69,84,74,72,68,69,63,223,83,61.1,59.4
2015,847.8,260,335,339,189,203,166,128,78,77,76,84,74,71.8,68,69,64,242,89,63.8,60
2016,,,,,,,,,,,,,,,,,,,,,
2017,898,260,372,437,242,219,154,128,77,77,76,84,74,72,68,68,69,295,119,63,61
2018,,,,,,,,,,,,,,,,,,,,,
